track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.254,84.039,0.266,0.637,0.156,0.0,85.0,85.06896551724138,0.2533954906327425,-1,0,85
0.199,145.007,0.0529,0.587,0.146,-0.038461538461538464,26.0,25.586206896551722,0.4925123054167483,-1,0,25
0.635,111.487,0.0756,0.398,0.443,0.0,82.0,81.72222222222223,0.44790320823880825,-1,0,81
0.646,94.127,0.0562,0.731,0.111,0.0,0.0,0.0,0.0,0,0,0
0.825,139.994,0.0475,0.704,0.0546,-0.012345679012345678,82.0,81.75862068965517,0.8160110045654644,-1,0,80
0.662,173.93,0.0557,0.52,0.311,0.0,30.0,30.26271186440678,1.1675555088005118,-1,0,28
0.824,107.007,0.0428,0.811,0.121,0.0,71.0,71.10344827586206,0.7117161186396652,-1,0,70
0.525,170.01,0.0638,0.565,0.447,0.0,72.0,71.54385964912281,3.206737290530216,-1,0,65
0.729,136.996,0.0446,0.733,0.122,0.0,73.0,73.45833333333333,0.49826086429589167,-1,0,73
0.793,92.9,0.0652,0.649,0.22,0.0,72.0,71.61111111111111,1.0613873985857112,-1,0,70
0.496,160.08,0.0775,0.567,0.111,-0.2,8.0,7.448275862068965,1.8492534727988859,-1,0,4
0.249,120.968,0.0606,0.73,0.23,0.0,66.0,66.45833333333333,0.49826086429589167,-1,0,66
0.912,133.01,0.241,0.95,0.309,0.0,68.0,68.375,0.4841229182759271,-1,0,68
0.722,108.966,0.0656,0.836,0.335,0.0,69.0,69.24242424242425,0.9753622387533989,-1,0,66
0.719,101.058,0.0324,0.881,0.0901,0.0,71.0,71.27083333333333,1.0750888206200557,-1,0,70
0.268,169.914,0.0531,0.44,0.141,0.0,78.0,78.13888888888889,0.3458305443885759,-1,0,78
0.446,153.967,0.0501,0.544,0.169,0.0,4.0,3.9583333333333335,0.19982631347136331,1,0,4
0.635,166.084,0.275,0.811,0.0787,0.0,62.0,62.03448275862069,0.7648645866489253,-1,0,61
0.894,149.995,0.0615,0.736,0.0501,0.0,74.0,74.24137931034483,0.5666095422467236,-1,0,73
0.234,98.047,0.0516,0.801,0.0639,0.0,81.0,80.72413793103448,0.5811137774604385,-1,0,80
0.884,96.97,0.31,0.935,0.425,0.0,59.0,58.55172413793103,0.4973174173053778,-1,0,58
0.706,90.019,0.107,0.815,0.101,0.0,1.0,1.3448275862068966,0.47531202593414557,1,0,2
0.841,131.43,0.0404,0.768,0.15,0.0,20.0,19.791666666666668,0.40611643103370676,1,0,20
0.653,115.143,0.0599,0.389,0.501,0.0,0.0,0.0,0.0,0,0,0
0.684,116.033,0.0484,0.68,0.661,0.0,67.0,66.75862068965517,0.5666095422467236,-1,0,66
0.457,100.012,0.158,0.874,0.126,0.0,64.0,64.37931034482759,0.6650793628271005,-1,0,63
0.415,121.932,0.0493,0.695,0.367,0.0,73.5,73.5,0.5,-1,0,73
0.555,77.011,0.266,0.728,0.434,0.0,74.0,74.17543859649123,0.5959750088232642,-1,0,73
0.419,81.98,0.0432,0.592,0.103,0.0,60.0,60.241379310344826,0.5666095422467236,-1,0,59
0.338,72.498,0.0358,0.559,0.138,0.0,72.0,71.65517241379311,0.47531202593414557,-1,0,71
0.531,80.87,0.0944,0.761,0.0921,0.0,31.0,30.670731707317074,0.46994753336579737,1,0,31
0.704,112.56,0.0357,0.888,0.11,0.0,61.0,60.89655172413793,0.7586206896551724,-1,0,60
0.336,114.06,0.0382,0.583,0.14,-0.013333333333333334,76.0,75.48275862068965,0.5645070877153414,-1,0,74
0.88,97.953,0.078,0.783,0.241,0.0,59.0,59.0,0.6948083337796512,-1,0,58
0.232,179.773,0.0608,0.345,0.194,0.0,72.0,72.13793103448276,0.6283057640789171,-1,0,71
0.638,84.974,0.0769,0.742,0.25,-0.014705882352941176,68.0,68.41379310344827,0.5581522088358153,-1,0,67
0.44,87.724,0.205,0.494,0.0816,0.0,79.0,79.1875,0.3903123748998999,-1,0,79
0.687,179.629,0.363,0.594,0.461,0.0,64.0,64.03448275862068,0.6686454975746661,-1,0,63
0.696,81.003,0.199,0.77,0.17,0.0,63.0,62.689655172413794,0.46263475396547366,-1,0,62
0.546,87.981,0.22,0.737,0.0486,0.0,77.0,76.37931034482759,0.7150497018388869,-1,0,75
0.478,169.928,0.0483,0.591,0.103,0.0,79.0,79.13414634146342,0.5793645619619368,-1,0,78
0.55,95.016,0.0389,0.647,0.096,0.0,58.0,57.93103448275862,0.7395727789492144,-1,0,57
0.881,107.998,0.0854,0.824,0.117,0.0,81.0,81.0,0.2721655269759087,1,0,82
0.591,126.026,0.0348,0.808,0.364,0.0,7.0,7.0,0.7878385971583354,-1,0,6
0.494,121.963,0.0444,0.671,0.304,0.0,78.0,77.84848484848484,0.574959574576069,-1,0,77
0.441,153.96,0.0478,0.601,0.415,0.0,84.0,84.0,0.0,0,0,84
0.922,143.08,0.152,0.775,0.105,0.0,63.0,63.270833333333336,0.4443901876604488,-1,0,63
0.753,108.625,0.0299,0.568,0.0855,0.0,71.0,71.375,0.4841229182759271,-1,0,71
0.399,94.995,0.0299,0.773,0.0851,0.0,72.0,72.33333333333333,0.47140452079103173,-1,0,72
0.533,93.005,0.0411,0.727,0.161,0.0,76.0,75.59649122807018,0.4906011036529671,-1,0,75
0.742,110.968,0.0286,0.762,0.123,0.0,72.5,72.5,0.5,-1,0,72
0.668,168.56,0.204,0.556,0.101,0.0,19.0,18.344827586206897,0.7554793896622981,-1,0,17
0.357,133.073,0.375,0.935,0.0824,0.013333333333333334,76.0,75.58620689655173,0.49251230541674823,1,1,76
0.756,90.989,0.0369,0.7,0.272,0.0,8.0,8.137931034482758,1.4791455578984287,-1,0,6
0.779,110.962,0.159,0.787,0.0904,0.0,75.0,74.55172413793103,0.4973174173053778,-1,0,74
0.78,120.008,0.0603,0.948,0.26,0.0,37.0,37.172413793103445,0.6469538979066799,-1,0,36
0.543,83.995,0.353,0.709,0.133,0.0,78.0,78.06896551724138,0.7395727789492144,-1,0,77
0.348,144.026,0.135,0.726,0.696,0.0,79.0,79.20689655172414,0.5495647396727319,-1,0,78
0.816,128.977,0.0537,0.863,0.123,0.0,65.0,65.44827586206897,0.4973174173053778,-1,0,65
0.535,124.749,0.23,0.711,0.156,-0.016666666666666666,60.0,60.241379310344826,0.5020765440883116,-1,0,59
0.471,140.04,0.079,0.799,0.111,-0.14285714285714285,7.0,7.103448275862069,0.7117161186396653,-1,0,6
0.313,89.643,0.117,0.316,0.205,0.0,74.0,74.0,0.6948083337796512,-1,0,73
0.713,141.05,0.368,0.913,0.0666,0.0,49.0,48.689655172413794,0.46263475396547366,-1,0,48
0.761,150.076,0.0803,0.767,0.269,0.0,71.0,71.10344827586206,0.7117161186396652,-1,0,70
0.642,116.971,0.0559,0.896,0.79,0.0,82.0,82.48275862068965,0.49970264642032547,-1,0,82
0.68,168.983,0.334,0.843,0.096,0.0,66.0,65.65517241379311,0.47531202593414557,-1,0,65
0.446,123.97,0.0475,0.68,0.224,-0.013513513513513514,75.0,74.89655172413794,0.8446516354424751,-1,0,73
0.774,121.876,0.133,0.834,0.372,0.0,62.0,61.62068965517241,0.48521542343001,-1,0,61
0.716,94.009,0.0697,0.889,0.055,0.0,69.0,69.24137931034483,0.42791978089623645,-1,0,69
0.497,89.977,0.164,0.746,0.101,0.0,73.0,73.48275862068965,0.49970264642032547,-1,0,73
0.694,112.022,0.0578,0.878,0.0714,0.0,17.0,17.03448275862069,1.1591542285497665,1,0,19
0.347,125.971,0.2,0.823,0.193,0.0,74.0,73.6896551724138,0.46263475396547366,-1,0,73
0.452,138.026,0.189,0.819,0.0735,0.0,0.0,0.0,0.0,0,0,0
0.121,119.987,0.0487,0.699,0.285,0.0,76.0,76.06896551724138,0.6913771605435662,-1,0,75
0.951,127.656,0.17,0.965,0.0726,0.0,66.0,65.96551724137932,0.7183678157241261,-1,0,65
0.432,100.036,0.204,0.954,0.0754,0.0,62.0,62.10344827586207,0.6614940032155475,-1,0,61
0.469,94.066,0.241,0.914,0.107,0.0,68.0,68.06896551724138,0.6913771605435662,-1,0,67
0.641,112.997,0.039,0.744,0.231,0.0,78.0,78.27586206896552,0.4469476343729559,-1,0,78
0.459,120.038,0.062,0.88,0.436,0.0,0.0,0.0,0.0,0,0,0
0.33,112.05,0.0892,0.674,0.393,0.0,74.0,73.89655172413794,0.7586206896551724,-1,0,73
0.159,91.066,0.0538,0.399,0.11,0.0,3.0,2.8275862068965516,1.0194307240754814,-1,0,1
0.225,77.355,0.0365,0.311,0.0726,0.0,77.0,77.3103448275862,0.46263475396547366,-1,0,77
0.898,121.975,0.0495,0.77,0.353,0.0,77.0,77.17241379310344,0.377739694831149,-1,0,77
0.429,176.123,0.147,0.541,0.286,0.0,45.0,44.526315789473685,0.49930699897395464,-1,0,44
0.457,116.735,0.148,0.621,0.46,0.0,73.0,73.06896551724138,0.639559896241083,-1,0,72
0.373,116.912,0.0385,0.688,0.0989,0.0,67.0,67.24137931034483,0.42791978089623645,-1,0,67
0.485,109.978,0.094,0.83,0.248,0.0,74.0,74.44827586206897,0.4973174173053778,-1,0,74
0.551,120.046,0.0384,0.705,0.289,0.0,67.0,66.55172413793103,0.4973174173053778,-1,0,66
0.575,125.989,0.222,0.707,0.202,0.0,75.0,75.06896551724138,0.7395727789492144,-1,0,74
0.309,139.864,0.225,0.802,0.196,0.0,75.0,75.44827586206897,0.4973174173053778,-1,0,75
0.677,123.941,0.0842,0.794,0.0952,0.0,72.0,71.58620689655173,0.49251230541674823,-1,0,71
0.789,120.151,0.0276,0.828,0.128,0.0,85.0,85.3103448275862,0.46263475396547366,-1,0,85
0.27,102.078,0.0333,0.357,0.322,0.0,84.0,83.61111111111111,0.4874980215217846,-1,0,83
0.715,113.968,0.0486,0.738,0.692,0.0,2.0,2.0,0.0,0,0,2
0.405,106.044,0.18,0.879,0.0967,0.0,71.0,70.58620689655173,0.49251230541674823,-1,0,70
0.318,76.986,0.174,0.883,0.063,0.0,60.0,59.51724137931034,0.4997026464203254,-1,0,59
0.672,101.003,0.0278,0.764,0.0943,0.0,78.0,77.875,0.4841229182759271,-1,0,77
0.156,136.029,0.0707,0.74,0.319,0.0,61.0,60.689655172413794,0.46263475396547366,-1,0,60
0.0927,79.859,0.0398,0.631,0.116,0.0,66.0,66.20689655172414,0.4050806939472666,1,0,67
0.638,109.004,0.0645,0.901,0.238,0.0,78.0,78.27586206896552,0.4469476343729559,-1,0,78
0.837,151.947,0.164,0.81,0.0832,0.0,66.0,66.44827586206897,0.4973174173053778,-1,0,66
0.629,130.022,0.0622,0.728,0.0996,0.0,70.0,70.0,0.7427813527082074,-1,0,69
0.865,98.013,0.0642,0.738,0.23,0.0,62.0,62.44827586206897,0.4973174173053778,-1,0,62
0.522,115.023,0.375,0.974,0.279,0.0,39.0,38.58620689655172,0.4925123054167483,-1,0,38
0.814,100.003,0.0391,0.743,0.133,0.0,58.0,58.06896551724138,0.6913771605435662,-1,0,57
0.236,127.085,0.0364,0.785,0.0887,0.0,2.0,2.0,0.0,0,0,2
0.868,114.328,0.0504,0.808,0.154,0.0,83.0,82.62068965517241,0.48521542343001,-1,0,82
0.394,122.074,0.187,0.762,0.118,0.014705882352941176,69.0,68.55172413793103,0.4973174173053778,1,1,69
0.269,179.798,0.368,0.48,0.0848,-0.013333333333333334,75.0,75.27586206896552,0.518389530288721,-1,0,74
0.173,131.798,0.0555,0.487,0.1,0.0,72.0,71.65517241379311,0.47531202593414557,-1,0,71
0.398,124.053,0.0336,0.612,0.101,0.0,91.0,90.96296296296296,0.18885257457751053,-1,0,90
0.724,120.082,0.0493,0.686,0.0675,0.0,66.0,65.96551724137932,0.7648645866489253,-1,0,65
