track__energy,track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.933,0.402,127.967,0.0651,0.648,0.14,0.0,33.0,33.333333333333336,2.83304496802463,0,0,28
0.551,0.443,148.035,0.0345,0.527,0.403,0.0,85.0,84.84,0.36660605559646725,0,0,84
0.64,0.527,145.031,0.274,0.811,0.127,0.0,71.0,71.10344827586206,0.30454347814923616,0,0,71
0.539,0.253,158.105,0.0561,0.65,0.114,0.0,77.0,76.55172413793103,0.4973174173053778,0,0,76
0.567,0.0743,121.964,0.0969,0.781,0.0981,0.0,72.0,72.32,0.46647615158762407,0,0,72
0.734,0.619,171.829,0.0349,0.566,0.124,0.0,26.0,26.103448275862068,1.6261829134553925,0,0,24
0.629,0.457,122.863,0.0563,0.707,0.138,0.0,75.0,75.0,0.0,0,0,75
0.672,0.739,114.935,0.0522,0.756,0.108,0.0,87.0,87.13793103448276,0.34482758620689646,0,0,87
0.796,0.704,145.212,0.169,0.624,0.258,0.0,70.0,70.13793103448276,0.34482758620689646,0,0,70
0.567,0.497,136.005,0.0322,0.673,0.151,-0.0196078431372549,55.0,55.3448275862069,2.9393391477415287,-1,0,50
0.373,0.346,121.889,0.26,0.49,0.128,0.012987012987012988,77.0,77.37931034482759,0.48521542343001,1,1,78
0.787,0.31,119.996,0.0462,0.704,0.159,0.0,83.0,83.34615384615384,0.47574295680203776,0,0,83
0.936,0.844,151.019,0.301,0.788,0.311,0.0,79.0,79.37837837837837,0.48498266067368545,0,0,79
0.558,0.606,104.983,0.0568,0.943,0.0937,0.0,80.0,80.44660194174757,0.4971404704657129,0,0,81
0.538,0.732,99.968,0.174,0.868,0.0901,0.0,78.0,78.12621359223301,0.33208992964052564,0,0,78
0.523,0.416,169.982,0.0946,0.628,0.219,0.0,77.0,77.35135135135135,0.4773924792609647,0,0,77
0.717,0.422,141.904,0.0375,0.638,0.113,0.0,83.0,82.96078431372548,0.1941077438551307,0,0,83
0.676,0.134,77.002,0.0298,0.583,0.121,0.0,35.0,35.583333333333336,2.4480718035947304,0,0,31
0.592,0.726,120.018,0.0331,0.783,0.347,0.0,22.0,22.04054054054054,0.19722323674765438,0,0,22
0.251,0.136,76.908,0.454,0.522,0.0751,0.0,51.0,49.294117647058826,2.3330037664766987,1,0,51
0.681,0.706,139.057,0.201,0.918,0.0615,0.0,79.0,79.0,0.0,0,0,79
0.881,0.808,129.981,0.0995,0.631,0.0639,0.0,78.0,77.96153846153847,0.19230769230769232,0,0,78
0.662,0.417,116.049,0.0686,0.825,0.285,0.0,62.0,62.03846153846154,0.19230769230769232,0,0,62
0.681,0.646,117.999,0.0668,0.707,0.0322,0.0,23.0,23.0375,0.7321842322803737,0,0,24
